id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,label
391,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37990,36832,21812,37858,42594,39578,38336,38366,163670,75405,52280,36835,38342,37047,38789,37051,38186,27110,37957,166670,38357,38251,1
392,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38797,37861,129462,159888,37972,26224,39591,148335,156551,25957,38369,38289,38292,11569,14642,25465,38273,38945,38290,95609,15662,69629,1
398,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,38388,38389,38253,69713,33620,38378,38383,148302,37069,181276,37900,37886,37100,37889,94030,37893,37981,26741,131531,104377,38231,1
400,2,0,1,2,4,6,8,2,4,6,8,6,4,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36835,38342,38789,37038,38186,38357,27110,37957,37051,38251,166670,38797,39580,129462,156551,159888,37972,37861,39591,119117,148335,38369,1
401,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38289,38292,11569,14642,38273,12099,38945,25465,38290,34334,69629,13131,37988,36849,38322,38800,38371,38784,36868,166676,41106,33622,1
402,1,4,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37971,39859,38441,131404,149279,6803,33685,38257,40521,95615,148315,37990,36832,21812,37858,42594,39578,37979,38366,38336,163670,75405,-1
406,0,4,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38797,39580,37861,47411,156551,35412,26224,39591,148335,25957,38369,38391,38388,38389,38253,69713,33620,38378,38383,38393,148302,181276,-1
411,1,4,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,8,2,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,13131,37988,36849,38322,38800,38371,30910,38784,36868,41106,33622,36835,37047,38789,38186,104386,27110,37051,166670,38357,38251,38782,-1
412,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,91929,38293,43158,94462,178276,32863,39498,104411,169200,38794,150510,37990,36832,11736,39878,42594,39578,37979,37858,163670,38336,75405,1
413,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37900,37886,37100,37889,94030,37893,37981,26741,131531,104377,75500,37868,38354,33595,3329,149150,37866,38347,36836,45490,38365,5016,1
415,1,4,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38289,38292,11569,14642,38273,12099,38945,25465,38290,34334,17703,38318,38247,94288,94284,129278,33671,23997,25619,148336,37945,106369,-1
416,3,0,1,2,4,6,8,2,4,8,6,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37971,6803,39859,33685,38441,38249,38257,95615,78902,149279,148315,13131,37988,36849,36845,38322,38371,38784,36868,38786,41106,33622,1
419,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38797,37983,39580,47411,156551,37972,39631,39591,148335,37262,25957,37971,6803,16387,67939,131404,38249,38257,40521,95615,78902,148315,1
420,0,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37868,33595,38347,3329,149150,38354,37866,36836,45490,5016,68120,38341,38349,43049,21834,37953,38343,38778,47410,182605,37025,17883,-1
422,0,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104378,27838,12473,41109,104382,33662,37044,38233,166618,12574,46335,37900,37886,37100,37889,94030,37893,37981,26741,131531,38231,104377,-1
425,0,5,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,13131,37988,36849,38322,38800,38784,36868,38786,41106,33622,69629,38391,33620,38388,38389,38253,38393,148302,12692,38378,38383,181276,-1
426,1,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,33620,38389,38393,69713,38383,38253,148302,25499,46552,12692,37868,33595,3329,178486,149150,38354,37866,36836,68120,5016,45490,-1
427,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,6,4,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,91929,38293,43158,94462,148314,32863,39498,104411,169200,42153,150510,38797,39580,38795,156551,159888,37983,26224,39631,39591,38369,37262,1
429,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36835,38342,37047,38789,38186,27110,37909,104386,166670,178249,38251,38318,38247,94288,94284,129278,33671,23997,148336,37945,25619,106369,1
430,2,1,1,2,4,6,8,4,6,8,2,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30934,38292,39594,11569,14642,38945,25465,38290,30910,30485,34334,38327,67950,6800,39389,67959,67898,37112,38969,67952,148286,178291,1
433,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38797,38795,47411,159888,37983,35412,39631,39591,148335,156551,25957,38341,38349,38343,43049,37953,21834,38778,67896,182605,37025,39848,1
435,4,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36835,38342,37047,38789,38186,27110,37957,37051,38357,38251,89548,30934,38292,39594,38273,30910,38945,38290,95609,30485,34334,104404,1
440,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,8,6,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37990,36832,21812,11736,42594,39578,37979,38366,163670,38440,75405,38797,39580,47411,186621,159888,37983,25957,39631,39591,37262,38369,1
441,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,8,2,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,38388,38389,38253,69713,38798,38383,38393,148302,37069,46552,38327,6800,39389,67941,67959,67898,38969,178291,38799,148286,17276,1
442,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,91929,38293,43158,94462,148314,32863,39498,104411,169200,42153,150510,30934,38292,39594,11569,14642,30910,38945,25465,38290,30485,34334,1
445,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38434,37971,39859,38441,131404,38249,33685,38257,40521,78902,148315,36835,38342,37047,38789,37038,27110,37957,178249,38357,38251,89548,1
449,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36835,38342,37047,38789,37051,27110,38186,104386,38357,38251,89548,170323,38293,104411,94462,148314,32863,39498,43158,42153,38794,169200,1
455,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,38388,38389,69713,38378,38383,38393,38253,148302,46552,181276,91929,38785,104411,148314,178276,32863,39498,43158,42153,38794,169200,1
459,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37971,39859,38441,95615,131404,38249,33685,38257,40521,78902,148315,30934,11569,14642,25465,38273,30910,12099,38945,38290,30485,17703,1
460,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38341,38349,43049,21834,37953,38343,38778,67896,182605,39848,192907,36835,38342,37047,38789,38186,38357,27110,37957,37051,38251,89548,1
